Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2684552,IJ-120,SA07321,1476,8,0,3,PC,N148/18,5.699999999999999,230741,4113,0,720,768.436,144
2684719,IJ-120,SA07023,1481,14,0,4,PC,N148/18,3.25,232222,4127,0,724,771.686,143
2684719,IJ-120,SA07023,1509,25,0,4,PC,N148/18,1.27,233731,4152,0,728,772.956,142
2684767,IJ-120,SA02371,1743,0,0,4,PC,N148/18,0.74,235474,4152,0,732,773.696,141
2684767,IJ-120,SA02371,426,5,0,2,PC,N148/18,0.37,235900,4157,0,734,774.066,139
2684724,IJ-120,SA08320,1438,10,0,4,PC,N148/18,3.7600000000000002,237338,4167,0,738,777.826,138
2684724,IJ-120,SA08320,1264,34,0,3,PC,N148/18,5.085,238602,4201,0,741,782.9110000000001,137
2684724,IJ-120,SA08320,1285,3,0,4,PC,N148/18,5.575,239887,4204,0,745,788.4860000000001,136
2685259,IJ-120,SA07073,116,0,0,1,PC,N148/18,0.49,240003,4204,0,746,788.9760000000001,135
2685259,IJ-120,SA07073,1352,45,0,3,PC,N148/18,1.47,241355,4249,0,749,790.4460000000001,134
2685259,IJ-120,SA07073,22,0,0,2,PC,N148/18,0.98,241377,4249,0,751,791.4260000000002,132
2685259,IJ-120,SA07073,923,17,0,3,PC,N148/18,1.47,242300,4266,0,754,792.8960000000002,131
2685314,IJ-120,SA00504,1457,18,0,5,PC,N148/18,4.225,243757,4284,0,759,797.1210000000002,130
2685320,IJ-120,SA07126,1549,12,0,5,PC,N148/18,3.4560000000000004,245306,4296,0,764,800.5770000000002,129
2685432,IJ-120,SA00913,1577,0,0,4,PC,N148/18,5.4030000000000005,246883,4296,0,768,805.9800000000002,128
2685545,IJ-120,SA08320,1350,0,0,3,PC,N148/18,5.085,248233,4296,0,771,811.0650000000003,127
2685545,IJ-120,SA08320,-4,4,0,1,PC,N148/18,1.695,248229,4300,0,772,812.7600000000003,126
2685545,IJ-120,SA08320,273,16,0,3,PC,N148/18,4.745,248502,4316,0,775,817.5050000000003,125
2685434,IJ-120,SA01861,1491,27,0,4,PC,N148/18,4.51,249993,4343,0,779,822.0150000000003,124
2685653,IJ-120,SA00793,1590,14,0,4,PC,N148/18,3.375,251583,4357,0,783,825.3900000000003,123
2685725,IJ-120,SA02103,962,33,0,4,PC,N148/18,6.105,252545,4390,0,787,831.4950000000003,122
2685774,IJ-120,SA08399,1244,8,0,4,PC,N-142/67,7.075,253789,4398,0,791,838.5700000000004,121
2684222,IJ-120,SA01366,1101,23,0,6,PC,N148/18,7.737,254890,4421,0,797,846.3070000000004,120
2684222,IJ-120,SA01366,81,0,0,1,PC,N148/18,0.38,254971,4421,0,798,846.6870000000004,119
2684222,IJ-120,SA01366,305,3,0,3,PC,N148/18,1.452,255276,4424,0,801,848.1390000000004,118
